recno,Star,Teff,logg,[Fe/H],Vtur,[Na/H],e_[Na/H],o_[Na/H],[Na/H]c,[Mg/H],e_[Mg/H],o_[Mg/H],[Al/H],e_[Al/H],o_[Al/H],[Al/H]c,[Si/H],e_[Si/H],o_[Si/H],[Ca/H],e_[Ca/H],o_[Ca/H],[ScI/H],e_[ScI/H],o_[ScI/H],[ScI/H]c,[ScII/H],e_[ScII/H],o_[ScII/H],[TiI/H],e_[TiI/H],o_[TiI/H],[TiI/H]c,[TiII/H],e_[TiII/H],o_[TiII/H],[V/H],e_[V/H],o_[V/H],[V/H]c,[CrI/H],e_[CrI/H],o_[CrI/H],[CrII/H],e_[CrII/H],o_[CrII/H],[CrII/H]c,[Mn/H],e_[Mn/H],o_[Mn/H],[Co/H],e_[Co/H],o_[Co/H],[Co/H]c,[Ni/H],e_[Ni/H],o_[Ni/H],Ulsr,Vlsr,Wlsr,pDB,pTDB,pHB,popB,pDR,pTDR,pHR,popR,SimbadName,_RA,_DE
1,"BD+062932",5272,4.43,-0.84,0.06,-1.28,0.028,2,-1.33,-0.827,0.081,3,-0.84,0.325,2,-0.931,-0.807,0.061,15,-0.677,0.025,12,-0.92,0.099,2,-0.97,-0.842,0.282,6,-0.693,0.067,24,-0.763,-0.782,0.017,6,-0.899,0.035,7,-1.109,-0.824,0.066,19,-0.793,0.068,3,-0.797,-1.148,0.141,4,-0.889,0.192,7,-0.929,-1.0,0.063,39,-323,-253,56,0.0,0.0,1.0,"halo ",0.0,0.0,1.0,"halo ","BD+062932",220.82488,5.82771
229,"HD134113",5782,4.25,-0.74,1.27,-0.615,0.021,2,-0.615,-0.4,0.075,3,-0.525,0.021,2,-0.522,-0.474,0.019,16,-0.466,0.042,13,-0.53,0.028,2,-0.53,-0.555,0.055,6,-0.441,0.047,23,-0.44,-0.402,0.039,6,-0.638,0.045,8,-0.636,-0.731,0.038,15,-0.7,0.046,3,-0.71,-1.005,0.09,4,-0.65,0.047,7,-0.642,-0.721,0.03,40,-112,-125,41,0.97,0.0,0.03,"thick",0.92,0.0,0.08,"thick","HD134113",226.94375,8.87978
485,"HD195633",6154,4.25,-0.51,1.47,-0.44,0.0,2,-0.43,-0.403,0.081,3,-0.575,0.12,2,-0.485,-0.425,0.027,15,-0.378,0.054,12,,,,,-0.402,0.041,5,-0.395,0.058,19,-0.384,-0.368,0.044,6,-0.472,0.168,6,-0.422,-0.505,0.06,16,-0.487,0.023,3,-0.486,-0.648,0.095,4,-0.53,0.108,5,-0.484,-0.525,0.045,38,-42,-10,-1,0.02,0.98,0.0,"thin ",0.01,0.99,0.0,"thin ","HD195633",308.09996,6.51757
576,"HD209458",6118,4.5,0.03,1.21,0.01,0.057,2,0.02,0.18,0.267,3,0.04,0.085,2,0.121,0.138,0.264,16,0.185,0.337,12,0.71,0.699,3,0.666,0.107,0.368,6,0.22,0.367,21,0.232,0.24,0.527,5,0.472,0.447,5,0.522,0.117,0.222,17,0.017,0.021,3,0.017,-0.068,0.062,4,0.099,0.346,7,0.141,0.247,0.301,42,5,-4,7,0.01,0.99,0.0,"thin ",0.01,0.99,0.0,"thin ","HD209458",330.79488,18.88432
698,"HD225297",6181,4.55,-0.09,1.24,-0.115,0.035,2,-0.105,0.097,0.29,3,-0.255,0.219,2,-0.158,-0.076,0.052,14,-0.057,0.039,12,-0.057,0.103,3,-0.109,-0.077,0.034,6,-0.074,0.047,23,-0.063,-0.057,0.046,6,-0.098,0.088,8,-0.048,-0.108,0.045,19,-0.093,0.012,3,-0.092,-0.145,0.03,4,-0.177,0.079,7,-0.128,-0.118,0.049,41,-39,2,-9,0.02,0.98,0.0,"thin ",0.01,0.99,0.0,"thin ","HD225297",1.26097,-36.01512
526,"HD2025",4939,4.58,-0.35,0.61,-0.255,0.021,2,-0.361,-0.317,0.093,3,-0.225,0.021,2,-0.361,-0.328,0.06,16,-0.261,0.089,12,-0.067,0.119,3,-0.316,-0.355,0.11,6,-0.115,0.107,25,-0.266,-0.288,0.132,6,0.135,0.197,8,-0.278,-0.258,0.066,19,-0.387,0.059,3,-0.349,-0.415,0.082,4,-0.273,0.043,7,-0.343,-0.362,0.045,41,-42,-10,-2,0.02,0.98,0.0,"thin ",0.01,0.99,0.0,"thin ","HD2025",6.10805,-27.02677
1072,"HIP1745",5416,4.39,-0.44,0.47,-0.41,0.014,2,-0.441,-0.36,0.046,3,-0.285,0.064,2,-0.353,-0.391,0.055,15,-0.351,0.047,12,-0.39,0.04,3,-0.402,-0.398,0.119,6,-0.315,0.041,24,-0.358,-0.437,0.087,6,-0.385,0.019,8,-0.521,-0.409,0.055,19,-0.423,0.029,3,-0.434,-0.54,0.084,4,-0.39,0.052,7,-0.417,-0.464,0.033,39,63,-23,1,0.04,0.96,0.0,"thin ",0.02,0.98,0.0,"thin ","HIP1745",5.5169,-24.94499
1066,"HIP116374",4626,4.31,0.01,0.42,-0.005,0.064,2,-0.18,-0.153,0.159,3,0.215,0.035,2,0.048,-0.055,0.132,15,0.065,0.167,13,0.697,0.272,3,0.075,-0.06,0.239,6,0.296,0.121,23,0.044,-0.09,0.203,6,0.556,0.2,8,-0.078,0.042,0.145,19,-0.035,0.29,2,0.087,-0.048,0.128,4,0.117,0.156,7,0.021,-0.013,0.105,42,-61,-28,16,0.07,0.93,0.0,"thin ",0.03,0.97,0.0,"thin ","HIP116374",353.71862,-34.6698
671,"HD222335",5271,4.49,-0.2,0.83,-0.165,0.007,2,-0.215,-0.153,0.065,3,-0.13,0.0,2,-0.222,-0.186,0.041,16,-0.168,0.09,13,-0.117,0.09,3,-0.167,-0.217,0.051,6,-0.074,0.037,24,-0.144,-0.2,0.013,6,0.014,0.115,8,-0.197,-0.167,0.058,20,-0.247,0.05,3,-0.25,-0.215,0.07,4,-0.17,0.025,7,-0.211,-0.228,0.027,42,9,-17,13,0.01,0.99,0.0,"thin ",0.01,0.99,0.0,"thin ","HD222335",354.96377,-32.74341
679,"HD223121",5077,4.34,0.05,0.74,0.23,0.028,2,0.15,0.047,0.038,3,0.165,0.007,2,0.046,0.043,0.082,15,0.02,0.124,12,0.25,0.182,3,0.104,0.037,0.069,6,0.155,0.063,23,0.041,0.135,0.28,6,0.445,0.255,8,0.121,0.07,0.063,19,-0.033,0.114,3,-0.018,0.12,0.098,4,0.2,0.064,7,0.142,0.068,0.064,40,-12,-10,18,0.02,0.98,0.0,"thin ",0.01,0.99,0.0,"thin ","HD223121",356.73248,-31.98181
