recno,Star,Teff,e_Teff,logg,e_logg,loggHIP,e_loggHIP,[Fe/H],e_[Fe/H],vtur,e_vtur,loggcor,SimbadName,_RA,_DE
330,"BD+062932",5272,37.0,4.43,0.05,4.55,0.3,-0.84,0.04,0.06,0.62,4.52,"BD+062932",220.82488,5.82771
694,"HD134113",5782,22.0,4.25,0.03,4.05,0.12,-0.74,0.02,1.27,0.04,4.21,"HD134113",226.94375,8.87978
968,"HD195633",6154,37.0,4.25,0.05,4.06,0.12,-0.51,0.03,1.47,0.06,4.11,"HD195633",308.09997,6.51757
950,"HD209458",6118,25.0,4.5,0.04,4.36,0.06,0.03,0.02,1.21,0.03,4.37,"HD209458",330.79489,18.88432
981,"HD225297",6181,27.0,4.55,0.03,4.38,0.05,-0.09,0.02,1.24,0.03,4.4,"HD225297",1.26097,-36.01512
153,"HD2025",4851,49.0,4.49,0.13,4.58,0.03,-0.37,0.02,0.51,0.18,4.7,"HD2025",6.10806,-27.02677
404,"HIP1745",5416,26.0,4.39,0.05,4.57,0.1,-0.44,0.02,0.47,0.07,4.44,"HIP1745",5.5169,-24.94498
22,"HIP116374",4527,151.3,4.08,0.54,4.75,0.08,0.0,0.04,0.65,0.35,4.4,"HIP116374",353.71862,-34.66978
329,"HD222335",5271,34.0,4.49,0.05,4.56,0.03,-0.2,0.02,0.83,0.06,4.58,"HD222335",354.96378,-32.74341
202,"HD223121",4958,60.0,4.28,0.16,4.52,0.09,0.06,0.03,0.43,0.19,4.46,"HD223121",356.73249,-31.98182
471,"HD224433",5527,31.0,4.42,0.05,4.53,0.06,0.09,0.02,0.72,0.05,4.44,"HD224433",359.45891,-30.44794
355,"HD223282",5328,19.0,4.49,0.03,4.57,0.06,-0.41,0.01,0.6,0.05,4.56,"HD223282",357.08885,-27.8975
285,"HD283",5135,24.0,4.49,0.07,4.53,0.05,-0.55,0.01,0.47,0.06,4.61,"HD283",1.88559,-23.81872
419,"HD224619",5436,16.0,4.39,0.03,4.48,0.03,-0.2,0.01,0.79,0.03,4.44,"HD224619",359.86847,-20.03471
501,"HD3808",5572,23.0,4.46,0.03,4.41,0.09,-0.17,0.02,0.82,0.03,4.47,"HD3808",10.12754,-27.27635
513,"HD4208",5599,19.0,4.44,0.02,4.46,0.04,-0.28,0.01,0.78,0.03,4.44,"HD4208",11.11104,-26.51568
223,"HD2014",5001,48.5,4.3,0.13,4.57,0.1,-0.06,0.03,0.4,0.15,4.46,"HD2014",6.09179,-24.84882
101,"HIP5158",4708,119.1,4.22,0.33,4.74,0.13,0.18,0.04,0.53,0.35,4.48,"HIP5158",16.50854,-22.45315
338,"HD1171",5293,27.0,4.47,0.04,4.68,0.11,-0.53,0.02,0.48,0.09,4.55,"HD1171",4.00062,-22.4216
226,"HD5349",5010,86.9,3.76,0.2,3.98,0.07,0.45,0.06,0.88,0.14,3.92,"HD5349",13.7991,-16.97156
731,"HD4021",5831,46.0,4.71,0.05,4.56,0.08,0.02,0.03,1.32,0.07,4.66,"HD4021",10.65022,-16.70324
61,"BD-140184",4627,65.3,4.29,0.24,4.52,0.09,-0.25,0.03,0.29,0.3,4.58,"BD-140184",15.0939,-13.59942
534,"HD1979",5626,16.0,4.52,0.02,4.45,0.09,-0.09,0.01,0.74,0.03,4.52,"HD1979",5.98527,-14.34645
