recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
362,"HD134113",5782.0,4.21,-0.74,13.097,0.219,1.387,3.682,0.296,0.048,"2","jup ","thick",611.32,"HD134113",226.94375,8.87978
630,"HD195633",6154.0,4.11,-0.51,7.27,0.54,2.728,5.033,0.111,0.049,"2","none","thin ",185.71,"HD195633",308.09997,6.51757
613,"HD209458",6118.0,4.37,0.03,1.884,1.317,3.7,4.377,0.021,0.031,"2","jup ","thin ",347.44,"HD209458",330.79489,18.88432
643,"HD225297",6181.0,4.4,-0.09,2.273,1.437,3.122,4.558,-0.072,0.032,"2","none","thin ",168.53,"HD225297",1.26097,-36.01512
67,"HD222335",5271.0,4.58,-0.2,5.15,4.383,0.596,2.263,0.026,0.082,"2","none","thin ",332.32,"HD222335",354.96378,-32.74341
80,"HD223282",5328.0,4.56,-0.41,7.65,4.634,1.381,2.327,0.141,0.076,"1-6757","none","thin ",237.99,"HD223282",357.08885,-27.8975
47,"HD283",5135.0,4.61,-0.55,8.418,4.303,0.39,2.198,0.116,0.126,"2","none","thin ",277.46,"HD283",1.88559,-23.81872
127,"HD224619",5436.0,4.44,-0.2,9.546,3.467,0.72,2.648,0.057,0.059,"2","none","thin ",447.96,"HD224619",359.86847,-20.03471
194,"HD4208",5599.0,4.44,-0.28,10.499,2.396,0.71,2.859,0.088,0.046,"2","jup ","thin ",322.97,"HD4208",11.11104,-26.51568
398,"HD4021",5831.0,4.66,0.02,1.53,1.461,5.529,2.902,-0.101,0.051,"2","none","thin ",134.83,"HD4021",10.65023,-16.70322
213,"HD1979",5626.0,4.52,-0.09,3.822,3.202,0.622,2.744,-0.001,0.032,"2","none","thin ",209.64,"HD1979",5.98527,-14.34645
381,"HD4307",5812.0,4.05,-0.23,7.78,0.226,0.774,4.074,0.008,0.027,"2","none","thin ",1017.99,"HD4307",11.36953,-12.88081
34,"HD3569",5093.0,4.56,-0.34,7.614,4.728,0.331,2.312,0.133,0.098,"2","none","thin ",227.55,"HD3569",9.6385,-12.17242
520,"HD217958",5970.0,4.36,0.28,2.67,1.254,3.225,3.894,0.117,0.049,"2","none","thin ",61.0,"HD217958",346.13696,-25.69111
143,"HD222422",5475.0,4.5,-0.12,4.261,3.677,1.538,2.569,-0.068,0.043,"2","none","thin ",415.93,"HD222422",355.15772,-18.98889
677,"HD215625",6282.0,4.39,0.1,0.925,0.703,2.762,4.997,-0.015,0.032,"2","none","thin ",154.44,"HD215625",341.70939,-20.79056
512,"HD218504",5962.0,4.25,-0.55,11.516,0.999,1.39,4.09,0.14,0.038,"2","none","thin ",556.48,"HD218504",347.17879,-18.75195
471,"HD361",5913.0,4.53,-0.12,1.721,1.544,2.305,3.384,-0.025,0.03,"2","none","thin ",662.69,"HD361",2.06817,-14.82449
233,"HD223315",5650.0,4.43,0.3,2.276,1.948,2.558,2.966,-0.039,0.035,"2","none","thin ",78.0,"HD223315",357.15386,-15.21063
454,"HD224817",5894.0,4.29,-0.53,12.197,0.797,1.378,3.81,0.114,0.042,"2","none","thick",559.84,"HD224817",0.24283,-11.82374
631,"HD224578",6158.0,4.53,-0.01,0.791,0.675,2.571,4.208,0.035,0.031,"2","none","thin ",74.74,"HD224578",359.76207,-11.9383
506,"HD1388",5954.0,4.32,-0.01,4.643,1.7,2.568,3.925,-0.044,0.021,"2","none","thin ",794.02,"HD1388",4.49529,-13.45564
186,"HD967",5568.0,4.54,-0.68,13.017,0.312,1.366,2.61,0.307,0.052,"2","none","thick",421.92,"HD967",3.51866,-11.31158
340,"HD1461",5765.0,4.34,0.19,3.73,2.203,1.851,3.382,-0.05,0.024,"2","nept","thin ",1789.17,"HD1461",4.67445,-8.053
359,"HD222582",5779.0,4.33,-0.01,7.461,1.979,1.863,3.435,-0.006,0.027,"2","jup ","thin ",928.31,"HD222582",355.46471,-5.98576
603,"HD224347",6092.0,4.15,-0.42,8.128,0.833,2.685,4.722,0.11,0.033,"2","none","thin ",308.26,"HD224347",359.29236,-5.45999
474,"HD208",5914.0,4.39,-0.31,8.08,2.252,1.838,3.667,0.111,0.035,"2","none","thin ",465.62,"HD208",1.7245,-3.62626
307,"HD8406",5726.0,4.47,-0.1,3.437,2.813,0.698,3.036,-0.019,0.03,"2","none","thin ",388.49,"HD8406",20.75364,-16.48746
72,"HD10700",5310.0,4.52,-0.52,11.493,1.644,0.518,2.398,0.179,0.136,"2","none","thick",2034.77,"HD10700",26.01701,-15.93748
565,"HD9782",6023.0,4.32,0.09,2.486,1.518,1.543,4.144,0.01,0.021,"2","none","thin ",386.32,"HD9782",23.85962,-13.38103
70,"HD8389A",5283.0,4.45,0.34,4.986,4.289,0.849,2.527,0.144,0.092,"2","none","hamr ",276.57,"HD8389A",20.76099,-12.96607
81,"HD11964A",5332.0,3.97,0.08,7.774,0.292,0.501,3.509,-0.016,0.039,"2","jup ","thin ",1387.2,"HD11964A",29.29003,-10.24243
604,"HD11226",6098.0,4.23,0.04,4.114,0.816,1.037,4.584,0.017,0.018,"2","none","thin ",672.53,"HD11226",27.56437,-6.70409
495,"HD7134",5940.0,4.33,-0.29,8.982,1.54,1.372,3.863,0.0,0.03,"2","none","thin ",585.44,"HD7134",17.88367,-12.84308
303,"HD6718",5723.0,4.41,-0.07,5.554,3.21,1.843,3.15,0.079,0.025,"2","jup ","thin ",306.7,"HD6718",16.95276,-8.2337
566,"HD7449",6024.0,4.41,-0.11,2.138,1.665,3.083,3.968,-0.051,0.028,"2","jup ","thin ",847.27,"HD7449",18.62218,-5.04739
269,"HD8930",5687.0,4.5,-0.23,4.418,3.555,2.307,2.897,0.044,0.05,"2","none","thin ",68.29,"HD8930",21.98152,-1.99149
377,"HD16141",5806.0,4.14,0.16,6.184,1.158,1.515,3.879,-0.089,0.023,"2","jup ","thin ",310.4,"HD16141",38.83304,-3.5606
554,"HD17548",6011.0,4.34,-0.53,10.282,1.654,1.821,4.065,0.17,0.039,"2","none","thin ",252.61,"HD17548",42.21606,-1.50966
121,"HD14374",5425.0,4.53,-0.04,4.289,3.762,2.051,2.458,0.061,0.044,"2","none","thin ",470.1,"HD14374",34.81682,-0.77984
326,"HD11505",5752.0,4.35,-0.22,11.587,1.269,1.545,3.333,0.142,0.025,"2","none","thick",462.75,"HD11505",28.27583,-1.32694
242,"HD4915",5658.0,4.51,-0.21,4.681,3.589,1.844,2.821,-0.016,0.045,"2","none","thin ",780.3,"HD4915",12.7952,-5.03928
573,"HD2567",6038.0,4.33,0.22,2.346,1.116,2.537,4.174,-0.053,0.023,"2","none","thin ",239.91,"HD2567",7.31713,-5.91049
52,"HD2638",5169.0,4.51,0.12,5.637,4.686,0.671,2.393,0.074,0.111,"2","jup ","thin ",325.95,"HD2638",7.49947,-5.764
312,"HD3964",5729.0,4.47,0.05,2.501,2.175,1.537,3.043,0.113,0.027,"2","none","thin ",144.24,"HD3964",10.54074,-3.05638
30,"HD6348",5080.0,4.6,-0.59,9.782,3.223,0.344,2.238,0.406,0.086,"2","none","thin ",217.86,"HD6348",16.1103,-2.36659
112,"HD8828",5403.0,4.51,-0.16,7.331,4.496,0.613,2.478,-0.008,0.077,"2","none","thin ",356.49,"HD8828",21.75645,-0.15758
711,"HD3229",6583.0,3.82,-0.09,1.844,0.074,4.357,5.5,-0.081,0.035,"2","none","thin ",155.68,"HD3229",8.88681,-0.50561
7,"HD211038",4974.0,3.84,-0.27,10.514,1.685,2.295,2.0,0.197,0.08,"2","none","thick",1085.26,"HD211038",333.65925,-15.81853
210,"HD216777",5623.0,4.51,-0.38,9.729,3.05,1.541,2.759,0.034,0.056,"2","none","thin ",435.67,"HD216777",343.95824,-7.82261
154,"HD210277",5505.0,4.33,0.18,8.929,2.671,1.538,2.944,0.059,0.039,"2","jup ","hamr ",1097.46,"HD210277",332.37444,-7.54866
502,"HD210752",5951.0,4.45,-0.58,,,0.775,3.656,0.154,0.044,"2","none","thin ",318.68,"HD210752",333.18141,-6.46892
