recno,Name,FWHM,l_A(Li),A(Li),e_A(Li),dA(Li),Cat,_RA,_DE
1,"HD 142",0.379, ,2.88,0.03,0.11,2,1.5799,-49.07519
2,"HD 1237",0.208, ,2.16,0.02,0.1,1,4.05282,-79.85118
3,"HD 2039",0.164, ,2.3,0.03,0.11,2,6.08449,-56.65005
4,"HD 2638",0.14,<,0.41,,,1,7.49947,-5.764
5,"HD 3651",0.155,<,0.28,,,2,9.84086,21.25047
6,"HD 4113",0.155,<,0.45,,,1,10.80249,-37.98263
7,"HD 4208",0.14,<,0.45,,,2,11.11105,-26.51568
8,"HD 4308",0.14, ,1.04,0.24,0.26,2,11.16361,-65.64952
9,"HD 4203",0.185,<,0.76,,,2,11.17167,20.44893
10,"HD 6434",0.8,<,0.89,,,1,16.16729,-39.48822
11,"HD 10647",0.24, ,2.74,0.02,0.1,2,25.62215,-53.74083
12,"HD 11506",0.206, ,2.76,0.02,0.1,1,28.21056,-19.50698
13,"HD 12661",0.151, ,1.1,0.59,0.6,2,31.14287,25.41431
14,"HD 13445",0.14,<,0.37,,,2,32.60806,-50.82373
15,"HD 16141",0.152, ,1.19,0.15,0.18,2,38.83303,-3.56061
16,"HD 16417",0.174, ,1.71,0.06,0.12,2,39.2442,-34.57798
17,"HD 17051",0.226, ,2.52,0.04,0.11,1,40.63944,-50.80029
18,"HIP 14810",0.148, ,0.84,0.33,0.35,1,47.80929,21.09736
19,"HD 19994",0.28, ,1.77,0.13,0.17,1,48.19349,-1.1961
20,"HD 20782",0.176, ,1.02,0.29,0.31,2,50.01491,-28.85407
21,"HD 22049",0.16,<,0.07,,,2,53.23269,-9.45826
22,"HD 23079",0.17, ,2.17,0.04,0.11,2,54.92957,-52.91584
23,"HD 27894",0.145,<,-0.17,,,1,65.19603,-59.41084
24,"HD 28185",0.155,<,0.58,,,1,66.60968,-10.55081
25,"HD 30177",0.147,<,0.79,,,2,70.47655,-58.02076
26,"HD 37124",0.215,<,0.69,,,2,84.26036,20.73079
27,"HD 39091",0.183, ,2.34,0.03,0.11,2,84.29122,-80.46912
28,"HD 37605",0.149,<,0.44,,,1,85.0072,6.06058
29,"HD 40307",0.175,<,-0.3,,,1,88.51767,-60.02347
30,"HD 41004A",0.16,<,0.37,,,1,89.95687,-48.23969
31,"AB Pic",0.318, ,3.35,0.0,0.1,1,94.80381,-58.05431
32,"HD 45652",0.144,<,0.36,,,1,97.30497,10.93389
33,"HD 46375",0.165,<,0.39,,,2,98.30259,5.46292
34,"HD 47186",0.14,<,0.42,,,1,99.03662,-27.6223
35,"HD 50499",0.211, ,2.62,0.02,0.1,2,103.00844,-33.91556
36,"HD 50554",0.195, ,2.4,0.03,0.11,2,103.67844,24.24556
37,"HD 52265",0.179, ,2.65,0.03,0.11,2,105.07515,-5.36716
38,"HD 63454",0.148,<,0.15,,,1,114.84104,-78.27897
39,"HD 65216",0.147, ,1.22,0.12,0.16,1,118.42217,-63.64732
40,"HD 66428",0.155,<,0.45,,,2,120.86944,-1.16271
41,"HD 69830",0.143, ,0.8,0.2,0.22,2,124.59978,-12.63217
42,"HD 70642",0.159,<,0.7,,,2,125.36724,-39.70541
43,"HD 70573",0.408, ,3.12,0.02,0.1,1,125.70813,1.85932
44,"HD 72659",0.144, ,2.16,0.03,0.11,2,128.51329,-1.56822
45,"HD 73256",0.14,<,0.57,,,1,129.0959,-30.03762
46,"HD 74156",0.2, ,2.58,0.02,0.1,1,130.60468,4.5781
47,"HD 75289",0.212, ,2.64,0.02,0.1,1,131.91829,-41.73679
48,"HD 76700",0.17, ,1.3,0.14,0.17,2,133.48132,-66.80099
49,"HD 81040",0.147, ,1.79,0.04,0.11,1,140.94619,20.36445
50,"HD 82943",0.178, ,2.47,0.02,0.1,1,143.7114,-12.12955
51,"HD 83443",0.158,<,0.54,,,2,144.29928,-43.2722
52,"HD 86081",0.201, ,1.82,0.05,0.11,1,149.02466,-3.80842
53,"HD 89307",0.211, ,2.18,0.04,0.11,2,154.5887,12.62111
54,"HD 92788",0.17,<,0.75,,,2,160.7022,-2.18376
55,"HD 93083",0.14,<,0.31,,,1,161.08714,-33.57702
56,"BD-10 3166",0.147,<,0.51,,,2,164.61992,-10.77038
57,"HD 99109",0.14,<,0.55,,,2,171.07233,-1.52907
58,"HD 100777",0.155,<,0.38,,,1,173.96468,-4.75569
59,"HD 101930",0.163,<,0.38,,,1,175.87547,-58.00689
60,"HD 102117",0.155,<,0.61,,,2,176.21025,-58.70371
61,"HD 102195",0.169,<,0.46,,,1,176.42622,2.82148
62,"HD 106252",0.17, ,1.69,0.08,0.13,2,183.37296,10.04164
63,"HD 107148",0.153, ,1.32,0.13,0.17,2,184.80622,-3.31979
64,"HD 108147",0.224, ,2.16,0.06,0.12,2,186.44278,-64.02209
65,"HD 108874",0.156,<,0.58,,,2,187.61201,22.87983
66,"HD 109749",0.159, ,2.11,0.03,0.11,1,189.31824,-40.81212
67,"HD 111232",0.14,<,-0.02,,,1,192.21564,-68.42515
