C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.14CEST22:27:39

 IdentList
----------

 # ;typed ident;            identifier             ;typ;             all types             ;     coord1 (ICRS,J2000/2000)      ;      coord4 (Gal,J2000/2000)      ;        pm         ;  plx  ; radvel  ;  redshift  ;    cz    ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;morph. type;#bib;#not
---;-----------;-----------------------------------;---;-----------------------------------;-----------------------------------;-----------------------------------;-------------------;-------;---------;------------;----------;------;------;------;------;------;---------------;-----------;----;----
1  ;HD 127243  ;* g Boo                            ;PM*;*,PM*,IR                           ;217.1575543882676 +49.8448503045835;090.1622651670932 +60.6435839626184;-304.064 -46.816   ;  10.39;-8.12    ;-0.000027   ;-8.12     ;     ~; 6.44 ;     ~; 5.1  ;     ~;G4III-IVFe-1   ;~ ~ ~      ;  94;   0
2  ;HD 283668  ;HD 283668                          ;PM*;*,*,PM*,PM*,IR                     ;066.9704553511600 +24.4449659534822;173.2628413552676 -16.6343932210869; 395.967 53.392    ;  33.99;67.82    ;0.000226    ;67.83     ;     ~;10.32 ;     ~; 8.8  ;     ~;K2             ;~ ~ ~      ;  56;   0
3  ;HD 134113  ;HD 134113                          ;SB*;SB*,SB*,*,*,PM*,PM*,PM*,IR         ;226.9437504327542 +08.8797807857964;009.8691464717415 +53.0016307365136;-516.828 -57.113   ;  13.83;-59.79   ;-0.000199   ;-59.78    ;     ~; 8.83 ;     ~; 7.9  ;     ~;F9             ;~ ~ ~      ; 108;   0
4  ;HD 175607  ;HD 175607                          ;PM*;*,*,PM*,PM*,PM*,IR                 ;285.2728702625717 -66.1926784508875;329.4998636273125 -25.6143213142674;133.112 -385.409   ;  24.77;-91.96   ;-0.000307   ;-91.94    ;     ~; 9.31 ; 8.61 ;     ~;     ~;G6V            ;~ ~ ~      ;  52;   0
5  ;HD 155358  ;HD 155358                          ;PM*;*,*,PM*,PM*,PM*,IR,UV              ;257.3942413851758 +33.3558573357892;056.2839506424979 +34.7742133486269;-222.459 -215.908  ;  22.90;-9.21    ;-0.000031   ;-9.21     ;     ~;     ~;     ~; 7.0  ;     ~;G0             ;~ ~ ~      ; 133;   1
6  ;HD 39194   ;HD 39194                           ;PM*;*,PM*,IR                           ;086.1329932505454 -70.1435713067820;280.6155143142877 -31.0560380316494;-309.424 1238.780  ;  37.83;14.10    ;0.000047    ;14.10     ;     ~; 8.841; 8.075;     ~;     ~;K0V            ;~ ~ ~      ; 106;   1
7  ;HD 12648   ;HD 12648                           ;PM*;*,PM*,IR                           ;034.7486320359454 +85.7361592138000;124.6595510826857 +23.1613665749088;  -9.674 86.793    ;   5.46;-12.30   ;-0.000041   ;-12.30    ;     ~; 7.90 ; 6.98 ;     ~;     ~;G5             ;~ ~ ~      ;  12;   0
8  ;HD 220197  ;HD 220197                          ;PM*;*,PM*,PM*,IR                       ;350.4928627429124 +16.6325383345439;093.9690117475467 -41.1535674465012;407.248 -48.265    ;  15.50;-40.17   ;-0.000134   ;-40.17    ;     ~; 9.61 ;     ~; 8.5  ;     ~;G5             ;~ ~ ~      ;  38;   0
9  ;HD 6434    ;HD 6434                            ;PM*;*,PM*,PM*,IR                       ;016.1672932263925 -39.4882182134589;291.2112459533747 -77.3373751194347;-170.124 -527.851  ;  23.58;22.92    ;0.000076    ;22.92     ;     ~; 8.32 ; 7.71 ;     ~;     ~;G2/3V          ;~ ~ ~      ; 205;   1
10 ;HD 181720  ;HD 181720                          ;PM*;*,PM*,IR                           ;290.7207701991579 -32.9190531458497;005.5167704706012 -20.4866806074805;88.154 -415.038    ;  16.58;-45.40   ;-0.000151   ;-45.40    ;     ~; 8.44 ; 7.86 ;     ~;     ~;G1V            ;~ ~ ~      ;  94;   1
11 ;HD 10700   ;* tau Cet                          ;PM*;**,*,PM*,Ro*,IR,UV,X               ;026.0170142608 -15.9374795978      ;173.1006738055 -73.4397266497      ;-1721.05 854.16    ; 273.96;-16.60   ;-0.000055   ;-16.60    ; 4.43 ; 4.22 ; 3.50 ; 2.88 ; 2.41 ;G8V            ;~ ~ ~      ;1098;   1
